EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	17:11:01	0	0.1000	4.663804593435148	4.551848411560059		0.0866
2	17:19:24	0	0.1000	4.470964485494102	4.439210891723633		0.1079
3	17:27:12	0	0.1000	4.373692593923429	4.351660251617432		0.1165
4	17:34:57	0	0.1000	4.294579598961807	4.291026592254639		0.1268
5	17:42:46	0	0.1000	4.227537993919559	4.2289719581604		0.1457
6	17:50:39	0	0.1000	4.167442109410356	4.16995906829834		0.1457
7	17:58:22	0	0.1000	4.1144352631452605	4.119343280792236		0.1543
8	18:06:12	0	0.1000	4.06391007167537	4.074384689331055		0.1634
9	18:13:59	0	0.1000	4.018952176396439	4.019254684448242		0.1732
10	18:21:46	0	0.1000	3.973098158720063	3.9802181720733643		0.178
11	18:29:27	0	0.1000	3.9301752858045624	3.9395108222961426		0.1848
12	18:37:21	0	0.1000	3.8889514076418994	3.894670248031616		0.2006
13	18:45:40	1	0.1000	3.8494860539785245	3.862717866897583		0.1902
14	18:53:17	2	0.1000	3.8082629945801525	3.8088064193725586		0.1957
15	19:01:32	0	0.1000	3.7692637929683777	3.7748217582702637		0.2012
16	19:09:57	0	0.1000	3.729702582475616	3.7385241985321045		0.2201
17	19:18:16	0	0.1000	3.690398806595221	3.687748432159424		0.2226
18	19:26:29	1	0.1000	3.6513303772996113	3.6609864234924316		0.2195
19	19:34:09	0	0.1000	3.6115311487709603	3.622082233428955		0.2402
20	19:41:50	1	0.1000	3.571754891000143	3.586653470993042		0.2396
21	19:49:30	0	0.1000	3.5338887103010967	3.5412487983703613		0.2463
22	19:58:05	0	0.1000	3.4937067936687933	3.498098373413086		0.2555
23	20:05:52	0	0.1000	3.453571229562527	3.4611690044403076		0.2634
24	20:11:42	0	0.1000	3.4160041555544227	3.4187352657318115		0.2713
25	20:19:35	1	0.1000	3.3763608576611777	3.383202075958252		0.2695
26	20:27:19	0	0.1000	3.338654351118134	3.352355480194092		0.286
27	20:35:30	0	0.1000	3.302578264678397	3.3072073459625244		0.2927
28	20:43:51	0	0.1000	3.2644538658421216	3.267932176589966		0.3061
29	20:51:44	1	0.1000	3.22856739346574	3.2377257347106934		0.2976
30	20:59:50	2	0.1000	3.193759126198001	3.2031984329223633		0.3012
31	21:07:25	0	0.1000	3.1580687089082673	3.1698105335235596		0.3098
32	21:14:53	1	0.1000	3.1255832687238367	3.142524003982544		0.3079
33	21:22:11	0	0.1000	3.0930587670861223	3.102267026901245		0.322
34	21:29:38	0	0.1000	3.0618428615244424	3.077632188796997		0.3244
35	21:37:00	0	0.1000	3.0326369048327932	3.0431506633758545		0.3293
36	21:44:22	0	0.1000	3.0023481965646512	3.0119712352752686		0.336
37	21:51:41	1	0.1000	2.97293137748067	2.9877207279205322		0.3268
38	21:58:59	0	0.1000	2.9445136185390193	2.9586117267608643		0.339
39	22:06:19	0	0.1000	2.9182590697451336	2.927302598953247		0.3549
40	22:14:11	1	0.1000	2.891631746989925	2.906972885131836		0.347
41	22:22:00	2	0.1000	2.866789456693138	2.873779296875		0.3518
42	22:29:17	3	0.1000	2.841675563091185	2.8568308353424072		0.3396
