EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	16:44:10	0	0.1000	1.5193932140455013	0.41751596331596375		0.897
2	16:45:13	1	0.1000	1.6793076768154052	0.4911044239997864		0.8732
3	16:45:42	2	0.1000	1.6959323399822885	0.5109159350395203		0.8628
4	16:46:11	3	0.1000	1.7287024144428533	0.5659239888191223		0.8445
5	16:46:40	4	0.1000	1.7362595491874508	0.5334405899047852		0.8537
6	16:47:09	5	0.1000	1.766418697310657	0.6054674386978149		0.8396
7	16:47:39	6	0.1000	1.7741775335916659	0.5496836304664612		0.8591
8	16:48:08	1	0.0500	1.604120830093942	0.44191622734069824		0.8854
9	16:48:38	2	0.0500	1.494780323272798	0.4294687807559967		0.8909
10	16:49:07	0	0.0500	1.4742796046559403	0.40480944514274597		0.9
11	16:50:09	0	0.0500	1.4733418608002546	0.36286625266075134		0.9067
12	16:51:19	0	0.0500	1.4239472441556977	0.3756325840950012		0.9104
13	16:52:26	0	0.0500	1.4113687355925397	0.3533349931240082		0.9165
14	16:53:29	0	0.0500	1.3938791687023349	0.3452310264110565		0.9171
15	16:54:30	1	0.0500	1.419336842182206	0.3442196846008301		0.9159
16	16:55:29	0	0.0500	1.3993456768989563	0.33316344022750854		0.9232
17	16:58:02	0	0.0500	1.3978305751521414	0.3242010176181793		0.9287
18	17:00:37	1	0.0500	1.3761441996039414	0.3274787962436676		0.9213
19	17:02:32	2	0.0500	1.3891348668424095	0.3324596583843231		0.9232
20	17:04:24	3	0.0500	1.3715059758977193	0.3222041130065918		0.9226
21	17:06:20	0	0.0500	1.344410034069201	0.30439305305480957		0.9335
22	17:08:46	1	0.0500	1.3657242390876863	0.30636394023895264		0.9311
23	17:10:42	0	0.0500	1.3497600047472047	0.30122408270835876		0.9335
24	17:13:17	1	0.0500	1.3532535775405605	0.30240780115127563		0.9335
25	17:15:13	0	0.0500	1.3702980570095342	0.2943604290485382		0.9341
26	17:17:41	1	0.0500	1.3488727399343396	0.3078339397907257		0.9329
27	17:19:33	0	0.0500	1.357767259580333	0.30223578214645386		0.9354
28	17:21:57	1	0.0500	1.345808364123833	0.30066144466400146		0.9305
29	17:23:53	2	0.0500	1.3338583108855457	0.2951827943325043		0.9256
30	17:25:48	3	0.0500	1.3393110623592284	0.30606457591056824		0.9305
31	17:27:41	4	0.0500	1.3322503536794243	0.3066979944705963		0.9305
32	17:29:20	0	0.0500	1.306575416937107	0.29416096210479736		0.9354
33	17:31:47	1	0.0500	1.3506474297802622	0.2925330400466919		0.9323
34	17:33:45	0	0.0500	1.3490631564070539	0.2974969446659088		0.9378
35	17:36:12	1	0.0500	1.3178857554458991	0.2817516028881073		0.9354
36	17:37:57	0	0.0500	1.3351912373449744	0.2786870300769806		0.9384
37	17:40:33	0	0.0500	1.3328548064173722	0.27519136667251587		0.9402
38	17:43:06	1	0.0500	1.3180898154218021	0.29049205780029297		0.9323
39	17:45:04	2	0.0500	1.3484272855665627	0.28559815883636475		0.9366
40	17:46:52	3	0.0500	1.3329429921580525	0.2763465940952301		0.9372
41	17:48:49	4	0.0500	1.3141935524998642	0.26823779940605164		0.9384
42	17:50:47	5	0.0500	1.308027487498958	0.29005447030067444		0.9335
43	17:52:45	6	0.0500	1.3069325047295268	0.27605631947517395		0.9366
44	17:54:23	0	0.0250	1.2376650015319266	0.23715715110301971		0.9494
45	17:56:50	0	0.0250	1.1819690164996357	0.2240128070116043		0.9579
46	17:59:17	1	0.0250	1.171057294738002	0.21614590287208557		0.9555
47	18:01:13	2	0.0250	1.1507781898393863	0.214362233877182		0.9567
48	18:02:58	3	0.0250	1.1617674515014742	0.21321097016334534		0.9537
49	18:04:53	0	0.0250	1.151779199795025	0.2008807510137558		0.9598
50	18:07:20	1	0.0250	1.1292646107441042	0.20013006031513214		0.9591
51	18:09:15	0	0.0250	1.1409285485744476	0.19451819360256195		0.961
52	18:11:24	0	0.0250	1.120018381229261	0.18891054391860962		0.9665
53	18:13:49	1	0.0250	1.1197779254360898	0.1921149343252182		0.9579
54	18:15:47	2	0.0250	1.107959527940285	0.1923469752073288		0.9622
55	18:17:43	3	0.0250	1.109005416042921	0.18281280994415283		0.9652
56	18:19:23	4	0.0250	1.1179288355751735	0.17853792011737823		0.961
57	18:21:17	5	0.0250	1.0997586836465976	0.18095329403877258		0.964
58	18:23:14	6	0.0250	1.1044076045402667	0.180173859000206		0.9604
59	18:25:10	1	0.0125	1.0576589329359007	0.1631614863872528		0.9604
60	18:27:05	0	0.0125	1.048864336886057	0.15687806904315948		0.9707
61	18:29:08	0	0.0125	1.0381730754201006	0.16080303490161896		0.9726
62	18:31:39	1	0.0125	1.0279014232972774	0.15753141045570374		0.9683
63	18:33:35	2	0.0125	1.0302343774277989	0.1525099277496338		0.9707
64	18:35:29	3	0.0125	1.02429456216533	0.14885318279266357		0.9713
65	18:37:08	0	0.0125	1.0197775217091165	0.15269720554351807		0.9726
66	18:39:39	0	0.0125	1.0177354227042779	0.1478453129529953		0.9726
67	18:42:06	0	0.0125	0.9964259672455671	0.14498375356197357		0.9726
68	18:44:32	0	0.0125	1.010142087950939	0.14273765683174133		0.9744
69	18:47:02	0	0.0125	1.0057149973729762	0.14184673130512238		0.9762
70	18:49:26	1	0.0125	0.9958102671983765	0.14215438067913055		0.9732
71	18:51:20	2	0.0125	1.011538582080748	0.14253674447536469		0.975
72	18:53:08	3	0.0125	0.9985094351594042	0.1403253674507141		0.9738
