EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	18:43:48	0	0.2000	4.18638157949215	3.3621809482574463		0.2451
2	18:51:02	0	0.2000	3.4744623891900224	2.578291654586792		0.3561
3	18:58:16	0	0.2000	3.1434101197777724	2.379779100418091		0.3884
4	19:05:30	0	0.2000	2.9708228486630976	2.0301647186279297		0.4732
5	19:12:43	1	0.2000	2.787932103058187	1.9144219160079956		0.4543
6	19:19:56	0	0.2000	2.6652638952034278	1.8307995796203613		0.4976
7	19:27:09	0	0.2000	2.5966847720378783	1.688623309135437		0.5183
8	19:34:26	0	0.2000	2.481760119955714	1.7179597616195679		0.5207
9	19:41:39	1	0.2000	2.387400752378673	1.5925153493881226		0.5195
10	19:48:50	2	0.2000	2.398918782152781	1.6342074871063232		0.5201
11	19:56:04	0	0.2000	2.328027245475025	1.4736112356185913		0.5494
12	20:03:17	0	0.2000	2.2960679520630256	1.4546030759811401		0.5549
13	20:10:31	0	0.2000	2.2639318989399	1.4322271347045898		0.5726
14	20:17:43	0	0.2000	2.215276549443966	1.310142159461975		0.5841
15	20:24:57	0	0.2000	2.183461106492252	1.3590236902236938		0.586
16	20:32:09	0	0.2000	2.146560751010732	1.3471434116363525		0.5957
