EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	23:17:45	0	0.1000	3.3533986496343844	3.3529231548309326		0.2524
2	23:24:42	0	0.1000	3.3412774762874697	3.3416295051574707		0.2549
3	23:31:41	0	0.1000	3.3300682402820123	3.330383539199829		0.261
4	23:38:42	0	0.1000	3.3185435550968823	3.316948890686035		0.2634
5	23:45:44	0	0.1000	3.3079054199777	3.3052046298980713		0.2689
6	23:52:48	0	0.1000	3.296625092436628	3.2951741218566895		0.2689
7	23:59:54	1	0.1000	3.2860932119881237	3.285815715789795		0.2652
8	00:06:55	2	0.1000	3.2750433765969627	3.2751855850219727		0.2677
9	00:13:53	0	0.1000	3.265099229812622	3.2622742652893066		0.2774
10	00:20:59	1	0.1000	3.2550534443738983	3.250974416732788		0.2756
11	00:28:04	2	0.1000	3.2439752297285125	3.24480938911438		0.2768
12	00:35:06	0	0.1000	3.2351568494191985	3.232243061065674		0.2793
13	00:42:11	0	0.1000	3.2250444228474686	3.220099687576294		0.2805
14	00:49:16	0	0.1000	3.2154913879022367	3.209700584411621		0.286
15	00:56:19	1	0.1000	3.2050562563175107	3.202918529510498		0.2799
16	01:03:19	2	0.1000	3.1967113148293844	3.1930975914001465		0.2823
17	01:10:21	0	0.1000	3.187002540448817	3.184508800506592		0.2878
18	01:17:25	1	0.1000	3.1779595851898192	3.1727993488311768		0.2872
19	01:24:28	2	0.1000	3.16870392171348	3.1673707962036133		0.2866
20	01:31:27	3	0.1000	3.1603817018648472	3.1566479206085205		0.2811
21	01:38:28	0	0.1000	3.15147503503939	3.1456172466278076		0.2963
22	01:45:31	0	0.1000	3.142171023531658	3.1389026641845703		0.297
23	01:52:38	1	0.1000	3.1335538359386166	3.129868268966675		0.2957
24	01:59:36	0	0.1000	3.1254762489039725	3.121483325958252		0.3018
25	02:06:39	0	0.1000	3.117226690199317	3.1126370429992676		0.3024
26	02:13:40	1	0.1000	3.108794567294237	3.1051955223083496		0.2994
27	02:20:42	0	0.1000	3.1006467221422893	3.09606671333313		0.3024
28	02:27:48	0	0.1000	3.0924143377164515	3.0870893001556396		0.3079
29	02:34:53	0	0.1000	3.0847391782155853	3.079258918762207		0.3104
30	02:42:02	0	0.1000	3.0762658441357495	3.071948289871216		0.3116
31	02:49:07	1	0.1000	3.0686169469647293	3.0644397735595703		0.3098
32	02:56:12	0	0.1000	3.0607368288970576	3.0577523708343506		0.3165
33	03:03:18	1	0.1000	3.0533160598103595	3.0476233959198		0.3104
34	03:10:17	0	0.1000	3.0455406635563547	3.0389609336853027		0.3183
35	03:17:21	1	0.1000	3.0381070551058142	3.030407428741455		0.3152
36	03:24:21	0	0.1000	3.0305578080619253	3.024334669113159		0.3183
37	03:31:26	0	0.1000	3.022922596349949	3.018751859664917		0.322
38	03:38:33	0	0.1000	3.0155112344462696	3.0115559101104736		0.3226
39	03:45:39	1	0.1000	3.0083066687932827	3.0014724731445312		0.322
